C	0	16.35

Cs	0	17.3222215928

D	0	18.3522544899

Ds	0	19.4435363303

E	0	20.5997091658

F	0	21.8246316157

Fs	0	23.1223917448

G	0	24.4973207069

Gs	0	25.9540071997

A	0	27.4973127788

As	0	29.1323880832

B	0	30.8646900247

C	1	32.7

Cs	1	34.6444431855

D	1	36.7045089797

Ds	1	38.8870726606

E	1	41.1994183316

F	1	43.6492632314

Fs	1	46.2447834896

G	1	48.9946414139

Gs	1	51.9080143994

A	1	54.9946255576

As	1	58.2647761664

B	1	61.7293800494

C	2	65.4

Cs	2	69.2888863711

D	2	73.4090179594

Ds	2	77.7741453212

E	2	82.3988366631

F	2	87.2985264627

Fs	2	92.4895669792

G	2	97.9892828277

Gs	2	103.816028799

A	2	109.989251115

As	2	116.529552333

B	2	123.458760099

C	3	130.8

Cs	3	138.577772742

D	3	146.818035919

Ds	3	155.548290642

E	3	164.797673326

F	3	174.597052925

Fs	3	184.979133958

G	3	195.978565655

Gs	3	207.632057597

A	3	219.97850223

As	3	233.059104666

B	3	246.917520198

C	4	261.6

Cs	4	277.155545484

D	4	293.636071838

Ds	4	311.096581285

E	4	329.595346652

F	4	349.194105851

Fs	4	369.958267917

G	4	391.957131311

Gs	4	415.264115195

A	4	439.957004461

As	4	466.118209331

B	4	493.835040395

C	5	523.2

Cs	5	554.311090969

D	5	587.272143675

Ds	5	622.193162569

E	5	659.190693305

F	5	698.388211702

Fs	5	739.916535834

G	5	783.914262622

Gs	5	830.52823039

A	5	879.914008921

As	5	932.236418662

B	5	987.67008079

C	6	1046.4

Cs	6	1108.62218194

D	6	1174.54428735

Ds	6	1244.38632514

E	6	1318.38138661

F	6	1396.7764234

Fs	6	1479.83307167

G	6	1567.82852524

Gs	6	1661.05646078

A	6	1759.82801784

As	6	1864.47283732

B	6	1975.34016158

C	7	2092.8

Cs	7	2217.24436388

D	7	2349.0885747

Ds	7	2488.77265028

E	7	2636.76277322

F	7	2793.55284681

Fs	7	2959.66614333

G	7	3135.65705049

Gs	7	3322.11292156

A	7	3519.65603569

As	7	3728.94567465

B	7	3950.68032316

C	8	4185.6

Cs	8	4434.48872775

D	8	4698.1771494

Ds	8	4977.54530056

E	8	5273.52554644

F	8	5587.10569361

Fs	8	5919.33228667

G	8	6271.31410098

Gs	8	6644.22584312

A	8	7039.31207137

As	8	7457.8913493

B	8	7901.36064632

